Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9006934,"Signaling by Receptor Tyrosine Kinases",31,634,0.039012983816380534,3.86120421747016E-7,4.467413279612975E-4,181,759,0.04717508856983032,9606,Homo sapiens,"LAMA5;EGR2;LAMB2;ROCK2;STAT1;TNK2;PRKCE;SRF;ITPR1;PTPRK;ESR1;PTPRF;EGFR;MAPK13;NCSTN;PPP2R1A;GRB10;COL6A3;PTK2B;KRAS;TRIB3;FGFR2","","R-HSA-177922;R-HSA-5654614;R-HSA-177923;R-HSA-5654615;R-HSA-171011;R-HSA-8848005;R-HSA-5654612;R-HSA-6785636;R-HSA-1295632;R-HSA-177926;R-HSA-177927;R-HSA-177924;R-HSA-5654608;R-HSA-177925;R-HSA-177930;R-HSA-9613210;R-HSA-5654622;R-HSA-183051;R-HSA-5654620;R-HSA-9032067;R-HSA-177934;R-HSA-5654618;R-HSA-177935;R-HSA-183055;R-HSA-177933;R-HSA-9613213;R-HSA-177938;R-HSA-183058;R-HSA-171026;R-HSA-177939;R-HSA-177936;R-HSA-9612672;R-HSA-177937;R-HSA-177942;R-HSA-199959;R-HSA-177943;R-HSA-1295622;R-HSA-9603719;R-HSA-177941;R-HSA-6785648;R-HSA-183067;R-HSA-5654607;R-HSA-177944;R-HSA-177945;R-HSA-5654605;R-HSA-5654603;R-HSA-5654600;R-HSA-1963581;R-HSA-5654647;R-HSA-183072;R-HSA-8851877;R-HSA-1963582;R-HSA-9036970;R-HSA-1963578;R-HSA-5654399;R-HSA-1470012;R-HSA-5654397;R-HSA-1470010;R-HSA-183084;R-HSA-5654392;R-HSA-1470009;R-HSA-190258;R-HSA-9613219;R-HSA-183089;R-HSA-9031610;R-HSA-1963563;R-HSA-9613476;R-HSA-190260;R-HSA-8851899;R-HSA-1306963;R-HSA-1251922;R-HSA-9031624;R-HSA-5218830;R-HSA-5218826;R-HSA-1306965;R-HSA-9031616;R-HSA-8951490;R-HSA-1306972;R-HSA-9612509;R-HSA-9612483;R-HSA-5218845;R-HSA-1963589;R-HSA-5218836;R-HSA-1250383;R-HSA-1306957;R-HSA-1963586;R-HSA-9612493;R-HSA-8867047;R-HSA-5686071;R-HSA-382054;R-HSA-8867044;R-HSA-9612534;R-HSA-1433456;R-HSA-8867041;R-HSA-1433471;R-HSA-380782;R-HSA-5218851;R-HSA-9612514;R-HSA-5654562;R-HSA-9612516;R-HSA-5686318;R-HSA-1977959;R-HSA-1251944;R-HSA-3928647;R-HSA-9842665;R-HSA-1250195;R-HSA-109699;R-HSA-109700;R-HSA-1433501;R-HSA-1250463;R-HSA-1251997;R-HSA-5228992;R-HSA-934559;R-HSA-9851407;R-HSA-8864029;R-HSA-5654729;R-HSA-1250486;R-HSA-8941613;R-HSA-8934446;R-HSA-1250488;R-HSA-9674531;R-HSA-8941628;R-HSA-8941618;R-HSA-110011;R-HSA-8863804;R-HSA-182969;R-HSA-9612073;R-HSA-5218804;R-HSA-9612076;R-HSA-8941623;R-HSA-9026891;R-HSA-5654677;R-HSA-182986;R-HSA-190408;R-HSA-182990;R-HSA-5654426;R-HSA-190413;R-HSA-182994;R-HSA-5654406;R-HSA-186834;R-HSA-1250498;R-HSA-5654407;R-HSA-169683;R-HSA-5654663;R-HSA-5654404;R-HSA-74707;R-HSA-169680;R-HSA-182993;R-HSA-5654402;R-HSA-5654147;R-HSA-8954207;R-HSA-183002;R-HSA-8874079;R-HSA-5654159;R-HSA-5654157;R-HSA-5654413;R-HSA-8954199;R-HSA-212706;R-HSA-1254386;R-HSA-212710;R-HSA-8954208;R-HSA-170986;R-HSA-212713;R-HSA-1295609;R-HSA-1254392;R-HSA-1549564;R-HSA-74733;R-HSA-9612671;R-HSA-8864105;R-HSA-109807;R-HSA-1295613;R-HSA-198640;R-HSA-8851827;R-HSA-74740;R-HSA-109817;R-HSA-8864125;R-HSA-5654701;R-HSA-8847995;R-HSA-1295599;R-HSA-183036;R-HSA-5654697"
R-HSA-1226099,"Signaling by FGFR in disease",10,82,0.005045843332717986,2.6069078132850976E-6,0.0015067927160787864,47,99,0.006153272422151781,9606,Homo sapiens,"BCR;STAT1;KRAS;FGFR2","","R-HSA-8853319;R-HSA-2029983;R-HSA-1839065;R-HSA-8853313;R-HSA-1839067;R-HSA-5655326;R-HSA-5654748;R-HSA-5655323;R-HSA-2033490;R-HSA-5655320;R-HSA-8853320;R-HSA-2033488;R-HSA-2033486;R-HSA-5655301;R-HSA-1839112;R-HSA-1839114;R-HSA-5655233;R-HSA-2033479;R-HSA-1839110;R-HSA-1888198;R-HSA-5655245;R-HSA-2033474;R-HSA-2067713;R-HSA-1839107;R-HSA-5655241;R-HSA-2033472;R-HSA-1839100;R-HSA-1839102;R-HSA-1839039;R-HSA-5655347;R-HSA-1839098;R-HSA-1839094;R-HSA-1839031;R-HSA-1839095;R-HSA-1839091;R-HSA-2077424;R-HSA-5655268;R-HSA-1839080;R-HSA-2029992;R-HSA-5655343;R-HSA-8851710;R-HSA-1839078;R-HSA-2029988;R-HSA-2029989;R-HSA-5655277;R-HSA-5655339;R-HSA-2029984"
R-HSA-5655253,"Signaling by FGFR2 in disease",8,58,0.003569011137776137,1.1002315513208849E-5,0.004235891472585407,27,28,0.0017403194729318167,9606,Homo sapiens,"KRAS;FGFR2","","R-HSA-8853319;R-HSA-2029983;R-HSA-8853313;R-HSA-5654748;R-HSA-5655323;R-HSA-2033490;R-HSA-5655320;R-HSA-8853320;R-HSA-2033488;R-HSA-2033486;R-HSA-5655301;R-HSA-5655233;R-HSA-2033479;R-HSA-5655245;R-HSA-2033474;R-HSA-2067713;R-HSA-5655241;R-HSA-2033472;R-HSA-2077424;R-HSA-5655268;R-HSA-2029992;R-HSA-5655343;R-HSA-8851710;R-HSA-2029988;R-HSA-2029989;R-HSA-5655339;R-HSA-2029984"
R-HSA-5654699,"SHC-mediated cascade:FGFR2",6,33,0.0020306442680450435,3.111781468201347E-5,0.006140803880917423,4,4,2.486170675616881E-4,9606,Homo sapiens,"KRAS;FGFR2","","R-HSA-5654406;R-HSA-5654407;R-HSA-5654404;R-HSA-5654402"
R-HSA-5663202,"Diseases of signal transduction by growth factor receptors and second messengers",24,536,0.032982585687034646,3.456224420750331E-5,0.006140803880917423,189,516,0.03207160171545777,9606,Homo sapiens,"KSR1;STAT1;RRBP1;ESR1;DUSP9;EGFR;BCR;NCSTN;DUSP10;PPP2R1A;PIM1;KRAS;FGFR2","","R-HSA-9656211;R-HSA-9656209;R-HSA-1218833;R-HSA-9656215;R-HSA-9664918;R-HSA-9656214;R-HSA-9656213;R-HSA-9656212;R-HSA-4839746;R-HSA-1226014;R-HSA-1226012;R-HSA-1220610;R-HSA-9665411;R-HSA-5339713;R-HSA-1248002;R-HSA-1220611;R-HSA-9665410;R-HSA-9665409;R-HSA-9665408;R-HSA-1839112;R-HSA-1220614;R-HSA-9665415;R-HSA-1839114;R-HSA-1220612;R-HSA-9665413;R-HSA-1220613;R-HSA-1839110;R-HSA-9665417;R-HSA-9665416;R-HSA-1169421;R-HSA-2067713;R-HSA-1839107;R-HSA-9664950;R-HSA-2400009;R-HSA-9665699;R-HSA-9665698;R-HSA-9665697;R-HSA-1226016;R-HSA-9665701;R-HSA-9664933;R-HSA-9665700;R-HSA-9665707;R-HSA-9665706;R-HSA-9665705;R-HSA-9665704;R-HSA-9665709;R-HSA-9664940;R-HSA-9664976;R-HSA-9664983;R-HSA-6803234;R-HSA-6803233;R-HSA-5655326;R-HSA-9664991;R-HSA-9672159;R-HSA-5655323;R-HSA-2033490;R-HSA-5655320;R-HSA-2033488;R-HSA-6803240;R-HSA-2033486;R-HSA-5655301;R-HSA-2033479;R-HSA-2033474;R-HSA-2033472;R-HSA-9665009;R-HSA-9672176;R-HSA-5655347;R-HSA-8936676;R-HSA-9672163;R-HSA-1247842;R-HSA-1247841;R-HSA-1247844;R-HSA-5655343;R-HSA-8851710;R-HSA-9672170;R-HSA-6803230;R-HSA-9665000;R-HSA-6803227;R-HSA-5655339;R-HSA-4839734;R-HSA-6802919;R-HSA-2029983;R-HSA-6802918;R-HSA-9670417;R-HSA-6802916;R-HSA-9670416;R-HSA-6802915;R-HSA-9703441;R-HSA-6802914;R-HSA-6802912;R-HSA-6802926;R-HSA-9670426;R-HSA-5654748;R-HSA-6802925;R-HSA-6802924;R-HSA-6802922;R-HSA-6802921;R-HSA-6802935;R-HSA-9851142;R-HSA-6802934;R-HSA-6802933;R-HSA-8936731;R-HSA-6802932;R-HSA-5655233;R-HSA-6802943;R-HSA-9703436;R-HSA-9665034;R-HSA-6802942;R-HSA-6802941;R-HSA-4839635;R-HSA-9665032;R-HSA-5655245;R-HSA-4839634;R-HSA-1248655;R-HSA-2220988;R-HSA-6802937;R-HSA-5655241;R-HSA-4839638;R-HSA-9670412;R-HSA-1839039;R-HSA-9664567;R-HSA-4791278;R-HSA-1839031;R-HSA-5638137;R-HSA-5655268;R-HSA-4827388;R-HSA-1248677;R-HSA-2029992;R-HSA-9670436;R-HSA-6802911;R-HSA-6802910;R-HSA-2029988;R-HSA-2029989;R-HSA-5655277;R-HSA-6802908;R-HSA-2029984;R-HSA-8853319;R-HSA-9700181;R-HSA-9652816;R-HSA-9651280;R-HSA-1839065;R-HSA-8853313;R-HSA-1839067;R-HSA-9700179;R-HSA-1225947;R-HSA-1225950;R-HSA-1225951;R-HSA-1225949;R-HSA-8853320;R-HSA-5637766;R-HSA-5637764;R-HSA-5637765;R-HSA-1888198;R-HSA-5637770;R-HSA-9664588;R-HSA-1839100;R-HSA-9634418;R-HSA-1839102;R-HSA-1839098;R-HSA-5637808;R-HSA-1225978;R-HSA-1839094;R-HSA-1839095;R-HSA-1247999;R-HSA-9665407;R-HSA-9665406;R-HSA-1839091;R-HSA-9665404;R-HSA-2077424;R-HSA-5637798;R-HSA-5637796;R-HSA-1225952;R-HSA-6802837;R-HSA-1839080;R-HSA-5637794;R-HSA-5637795;R-HSA-6802834;R-HSA-5637792;R-HSA-1225956;R-HSA-1225957;R-HSA-5637806;R-HSA-1839078;R-HSA-1225960;R-HSA-1225961;R-HSA-5637800;R-HSA-9665389;R-HSA-9695853;R-HSA-5637801;R-HSA-9665388"
R-HSA-5654700,"FRS-mediated FGFR2 signaling",6,34,0.0020921789428342873,3.668116551458489E-5,0.006140803880917423,9,9,5.593884020137983E-4,9606,Homo sapiens,"KRAS;FGFR2","","R-HSA-5654615;R-HSA-5654608;R-HSA-5654607;R-HSA-5654399;R-HSA-8941618;R-HSA-5654605;R-HSA-5654397;R-HSA-5654618;R-HSA-5654603"
R-HSA-9009391,"Extra-nuclear estrogen signaling",10,112,0.006891883576395298,3.721699321768135E-5,0.006140803880917423,24,39,0.002424016408726459,9606,Homo sapiens,"GNB2;SRF;GNB3;KRAS;ESR1;EGFR;GNAI2","","R-HSA-9021609;R-HSA-9624272;R-HSA-9625814;R-HSA-9632918;R-HSA-9632182;R-HSA-9021068;R-HSA-9633044;R-HSA-9021601;R-HSA-9021600;R-HSA-9634584;R-HSA-9625465;R-HSA-9632412;R-HSA-9021050;R-HSA-9021596;R-HSA-9021660;R-HSA-9625479;R-HSA-9625482;R-HSA-9632906;R-HSA-9021072;R-HSA-9021170;R-HSA-9632910;R-HSA-9625487;R-HSA-9021079;R-HSA-9027670"
R-HSA-74751,"Insulin receptor signalling cascade",8,72,0.004430496584825549,5.0255405059096425E-5,0.007236778328509885,7,25,0.0015538566722605508,9606,Homo sapiens,"GRB10;TRIB3;KRAS;FGFR2","","R-HSA-109699;R-HSA-74707;R-HSA-74740;R-HSA-109700;R-HSA-109817;R-HSA-110011;R-HSA-109807"
R-HSA-199418,"Negative regulation of the PI3K/AKT network",11,145,0.008922527844440342,6.56823598141898E-5,0.008407342056216294,6,10,6.215426689042203E-4,9606,Homo sapiens,"IRAK1;PPP2R1A;TRIB3;ESR1;FGFR2;EGFR","","R-HSA-199443;R-HSA-2316434;R-HSA-8857925;R-HSA-6811472;R-HSA-6811504;R-HSA-6811454"
R-HSA-8851708,"Signaling by FGFR2 IIIa TM",5,24,0.0014768321949418497,7.665056466621412E-5,0.008814814936614623,2,2,1.2430853378084405E-4,9606,Homo sapiens,"FGFR2","","R-HSA-8851710;R-HSA-8853320"
R-HSA-3000178,"ECM proteoglycans",8,79,0.004861239308350256,9.502883993139921E-5,0.009515697458795103,7,23,0.0014295481384797065,9606,Homo sapiens,"LAMA5;MUSK;LAMB2;COL6A3;ITGA7;PTPRF","","R-HSA-2467633;R-HSA-2327909;R-HSA-2396124;R-HSA-2681667;R-HSA-2465883;R-HSA-2467659;R-HSA-2466106"
R-HSA-74752,"Signaling by Insulin receptor",9,102,0.006276536828502861,9.912184852911565E-5,0.009515697458795103,8,34,0.002113245074274349,9606,Homo sapiens,"GRB10;TRIB3;KRAS;FGFR2;PTPRF","","R-HSA-109699;R-HSA-74707;R-HSA-74740;R-HSA-109700;R-HSA-109817;R-HSA-110011;R-HSA-74733;R-HSA-109807"
R-HSA-5654696,"Downstream signaling of activated FGFR2",6,42,0.002584456341148237,1.1595394669206005E-4,0.010319901255593344,22,23,0.0014295481384797065,9606,Homo sapiens,"KRAS;FGFR2","","R-HSA-5654614;R-HSA-5654615;R-HSA-5654612;R-HSA-5654608;R-HSA-5654622;R-HSA-5654399;R-HSA-5654620;R-HSA-5654397;R-HSA-5654618;R-HSA-5654406;R-HSA-5654407;R-HSA-5654404;R-HSA-5654402;R-HSA-5654147;R-HSA-5654607;R-HSA-5654159;R-HSA-8941618;R-HSA-5654701;R-HSA-5654605;R-HSA-5654157;R-HSA-5654603;R-HSA-5654697"
R-HSA-1839126,"FGFR2 mutant receptor activation",6,43,0.002645991015937481,1.3160169832560076E-4,0.010791339262699262,17,18,0.0011187768040275966,9606,Homo sapiens,"FGFR2","","R-HSA-8853319;R-HSA-2029983;R-HSA-8853313;R-HSA-2033490;R-HSA-8853320;R-HSA-2077424;R-HSA-2033488;R-HSA-2033486;R-HSA-2029992;R-HSA-2033479;R-HSA-8851710;R-HSA-2029988;R-HSA-2029989;R-HSA-2033474;R-HSA-2029984;R-HSA-2067713;R-HSA-2033472"
R-HSA-112399,"IRS-mediated signalling",7,65,0.003999753861300843,1.7902518942525258E-4,0.012889813638618186,3,9,5.593884020137983E-4,9606,Homo sapiens,"TRIB3;KRAS;FGFR2","","R-HSA-109699;R-HSA-109700;R-HSA-109817"
R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",10,137,0.008430250446126393,1.9058825484519204E-4,0.012960001329473059,5,7,4.350798682329542E-4,9606,Homo sapiens,"IRAK1;PPP2R1A;ESR1;FGFR2;EGFR","","R-HSA-2316434;R-HSA-8857925;R-HSA-6811472;R-HSA-6811504;R-HSA-6811454"
R-HSA-3000157,"Laminin interactions",5,31,0.0019075749184665558,2.494116673943392E-4,0.01504901309123663,12,15,9.323140033563305E-4,9606,Homo sapiens,"LAMA5;LAMB2;ITGA1;ITGA7","","R-HSA-216051;R-HSA-2426676;R-HSA-2328145;R-HSA-216048;R-HSA-4084507;R-HSA-2426530;R-HSA-4084505;R-HSA-3907292;R-HSA-2426450;R-HSA-2396083;R-HSA-2327803;R-HSA-216058"
R-HSA-2428928,"IRS-related events triggered by IGF1R",7,69,0.0042458925604578176,2.562901434615128E-4,0.01504901309123663,3,12,7.458512026850643E-4,9606,Homo sapiens,"TRIB3;KRAS;FGFR2","","R-HSA-109699;R-HSA-109700;R-HSA-109817"
R-HSA-5675221,"Negative regulation of MAPK pathway",6,49,0.0030151990646729433,2.640177735304672E-4,0.01504901309123663,8,17,0.0010566225371371745,9606,Homo sapiens,"DUSP10;KSR1;PPP2R1A;KRAS;DUSP9","","R-HSA-5674022;R-HSA-5675431;R-HSA-5674018;R-HSA-5674019;R-HSA-5675376;R-HSA-5675373;R-HSA-5675433;R-HSA-5675417"
R-HSA-2428924,"IGF1R signaling cascade",7,72,0.004430496584825549,3.302422110494918E-4,0.01816332160772205,4,17,0.0010566225371371745,9606,Homo sapiens,"TRIB3;KRAS;FGFR2","","R-HSA-109699;R-HSA-109700;R-HSA-109817;R-HSA-5686318"
R-HSA-2404192,"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)",7,73,0.004492031259614793,3.5837731267573947E-4,0.018635620259138452,4,19,0.0011809310709180185,9606,Homo sapiens,"TRIB3;KRAS;FGFR2","","R-HSA-109699;R-HSA-109700;R-HSA-109817;R-HSA-5686318"
R-HSA-9754706,"Atorvastatin ADME",4,20,0.0012306934957848747,4.750894634031333E-4,0.023754473170156665,5,12,7.458512026850643E-4,9606,Homo sapiens,"PON3;ABCC2;ABCB4;SLCO1B3","","R-HSA-9756150;R-HSA-9756177;R-HSA-9757010;R-HSA-9757139;R-HSA-9756136"
R-HSA-9675108,"Nervous system development",23,603,0.03710540889791397,4.977967715733556E-4,0.023894245035521067,53,322,0.020013673938715892,9606,Homo sapiens,"EGR2;HSP90AB1;PLXND1;LAMB2;ROCK2;ITGA1;ITSN1;MYO9B;KALRN;EGFR;CACNA1I;NCSTN;GJB1;ABLIM3;KCNQ2;GRB10;COL6A3;KRAS;SCN1A","","R-HSA-525833;R-HSA-3928632;R-HSA-9615638;R-HSA-443778;R-HSA-9621399;R-HSA-419087;R-HSA-9621400;R-HSA-445069;R-HSA-9621406;R-HSA-9621404;R-HSA-3928617;R-HSA-3928616;R-HSA-9615626;R-HSA-3928612;R-HSA-3928601;R-HSA-3928600;R-HSA-445088;R-HSA-9614773;R-HSA-9614778;R-HSA-434990;R-HSA-3928595;R-HSA-9680443;R-HSA-416683;R-HSA-9621410;R-HSA-9621411;R-HSA-416690;R-HSA-418865;R-HSA-9618725;R-HSA-419644;R-HSA-3928577;R-HSA-419645;R-HSA-3928576;R-HSA-9619666;R-HSA-9619667;R-HSA-9619668;R-HSA-9614787;R-HSA-9613760;R-HSA-9614790;R-HSA-9613768;R-HSA-9619657;R-HSA-9616116;R-HSA-9615477;R-HSA-375151;R-HSA-3928656;R-HSA-9618559;R-HSA-373739;R-HSA-419049;R-HSA-392054;R-HSA-8985594;R-HSA-419197;R-HSA-8853753;R-HSA-8985591;R-HSA-3928644"
R-HSA-8866910,"TFAP2 (AP-2) family regulates transcription of growth factors and their receptors",4,21,0.0012922281705741185,5.696015665233034E-4,0.02593502873654785,5,18,0.0011187768040275966,9606,Homo sapiens,"ESR1;EGFR","","R-HSA-8937369;R-HSA-8874789;R-HSA-8874797;R-HSA-8864381;R-HSA-8864395"
R-HSA-2219530,"Constitutive Signaling by Aberrant PI3K in Cancer",8,104,0.006399606178081349,5.894324712851784E-4,0.02593502873654785,1,2,1.2430853378084405E-4,9606,Homo sapiens,"ESR1;FGFR2;EGFR","","R-HSA-2400009"
R-HSA-9619665,"EGR2 and SOX10-mediated initiation of Schwann cell myelination",5,40,0.0024613869915697494,7.849688929540966E-4,0.032968693504072055,22,27,0.0016781652060413948,9606,Homo sapiens,"EGR2;GJB1;LAMB2","","R-HSA-9619666;R-HSA-9619667;R-HSA-9615638;R-HSA-9621399;R-HSA-9616116;R-HSA-9619668;R-HSA-9614773;R-HSA-9615477;R-HSA-9614778;R-HSA-9621400;R-HSA-9621406;R-HSA-9618559;R-HSA-9621404;R-HSA-9621410;R-HSA-9614787;R-HSA-9621411;R-HSA-9613760;R-HSA-9614790;R-HSA-9618725;R-HSA-9615626;R-HSA-9613768;R-HSA-9619657"
R-HSA-5654727,"Negative regulation of FGFR2 signaling",5,41,0.002522921666358993,8.756120437944936E-4,0.03590009379557424,10,14,8.701597364659083E-4,9606,Homo sapiens,"PPP2R1A;FGFR2","","R-HSA-934559;R-HSA-5654677;R-HSA-1295632;R-HSA-5654562;R-HSA-1295622;R-HSA-1295609;R-HSA-1549564;R-HSA-1295599;R-HSA-1295613;R-HSA-5654729"
R-HSA-5654738,"Signaling by FGFR2",7,88,0.005415051381453449,0.0010623803746734328,0.041155346552629535,36,46,0.002859096276959413,9606,Homo sapiens,"PPP2R1A;KRAS;FGFR2","","R-HSA-5654614;R-HSA-5654615;R-HSA-5654612;R-HSA-5654677;R-HSA-1295632;R-HSA-5654608;R-HSA-5654622;R-HSA-190408;R-HSA-5654620;R-HSA-5654618;R-HSA-190413;R-HSA-5654406;R-HSA-5654407;R-HSA-934559;R-HSA-5654404;R-HSA-5654402;R-HSA-5654147;R-HSA-1295622;R-HSA-5654607;R-HSA-5654159;R-HSA-5654605;R-HSA-5654157;R-HSA-5654603;R-HSA-5654729;R-HSA-5654399;R-HSA-1295609;R-HSA-5654397;R-HSA-1549564;R-HSA-1295613;R-HSA-190258;R-HSA-5654562;R-HSA-190260;R-HSA-8941618;R-HSA-5654701;R-HSA-1295599;R-HSA-5654697"
R-HSA-5654221,"Phospholipase C-mediated cascade; FGFR2",4,25,0.0015383668697310936,0.001083035435595514,0.041155346552629535,3,3,1.8646280067126608E-4,9606,Homo sapiens,"FGFR2","","R-HSA-5654147;R-HSA-5654159;R-HSA-5654157"
R-HSA-1989781,"PPARA activates gene expression",10,173,0.010645498738539167,0.0011368709795246401,0.042064226242411684,41,41,0.002548324942507303,9606,Homo sapiens,"CDK19;NCOA6;ABCB4;TRIB3;PPARG;HMGCS2;PPARGC1B","","R-HSA-1655826;R-HSA-1989778;R-HSA-560517;R-HSA-1989779;R-HSA-1989776;R-HSA-1989777;R-HSA-1989774;R-HSA-560473;R-HSA-1989775;R-HSA-1989772;R-HSA-1989773;R-HSA-1989770;R-HSA-1368065;R-HSA-1989771;R-HSA-1989768;R-HSA-1989767;R-HSA-1989764;R-HSA-1989765;R-HSA-1989762;R-HSA-1989760;R-HSA-1989761;R-HSA-1989758;R-HSA-1989759;R-HSA-879724;R-HSA-1989756;R-HSA-1989757;R-HSA-1989754;R-HSA-1989755;R-HSA-1989752;R-HSA-1989753;R-HSA-1801587;R-HSA-1989750;R-HSA-1989751;R-HSA-1989748;R-HSA-1989749;R-HSA-1989746;R-HSA-1989747;R-HSA-1989745;R-HSA-1655848;R-HSA-1655850;R-HSA-1592238"
R-HSA-400206,"Regulation of lipid metabolism by PPARalpha",10,175,0.010768568088117655,0.0012372655788073228,0.04374212372530106,42,46,0.002859096276959413,9606,Homo sapiens,"CDK19;NCOA6;ABCB4;TRIB3;PPARG;HMGCS2;PPARGC1B","","R-HSA-400143;R-HSA-1655826;R-HSA-1989778;R-HSA-560517;R-HSA-1989779;R-HSA-1989776;R-HSA-1989777;R-HSA-1989774;R-HSA-560473;R-HSA-1989775;R-HSA-1989772;R-HSA-1989773;R-HSA-1989770;R-HSA-1368065;R-HSA-1989771;R-HSA-1989768;R-HSA-1989767;R-HSA-1989764;R-HSA-1989765;R-HSA-1989762;R-HSA-1989760;R-HSA-1989761;R-HSA-1989758;R-HSA-1989759;R-HSA-879724;R-HSA-1989756;R-HSA-1989757;R-HSA-1989754;R-HSA-1989755;R-HSA-1989752;R-HSA-1989753;R-HSA-1801587;R-HSA-1989750;R-HSA-1989751;R-HSA-1989748;R-HSA-1989749;R-HSA-1989746;R-HSA-1989747;R-HSA-1989745;R-HSA-1655848;R-HSA-1655850;R-HSA-1592238"
R-HSA-190241,"FGFR2 ligand binding and activation",4,26,0.0015999015445203372,0.0012497749635800304,0.04374212372530106,4,5,3.1077133445211015E-4,9606,Homo sapiens,"FGFR2","","R-HSA-190258;R-HSA-190260;R-HSA-190408;R-HSA-190413"
R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",4,28,0.0017229708940988246,0.0016356583505685585,0.05337999358716772,5,11,6.836969357946423E-4,9606,Homo sapiens,"STAT1;KRAS","","R-HSA-9670417;R-HSA-9670416;R-HSA-9670436;R-HSA-9670426;R-HSA-9670412"
R-HSA-9669938,"Signaling by KIT in disease",4,28,0.0017229708940988246,0.0016356583505685585,0.05337999358716772,5,26,0.0016160109391509727,9606,Homo sapiens,"STAT1;KRAS","","R-HSA-9670417;R-HSA-9670416;R-HSA-9670436;R-HSA-9670426;R-HSA-9670412"
R-HSA-2179392,"EGFR Transactivation by Gastrin",3,13,7.999507722601686E-4,0.0016681247995989912,0.05337999358716772,3,6,3.7292560134253216E-4,9606,Homo sapiens,"KRAS;EGFR","","R-HSA-2179415;R-HSA-2179387;R-HSA-2179407"
R-HSA-9648895,"Response of EIF2AK1 (HRI) to heme deficiency",4,29,0.0017845055688880684,0.0018566016406493802,0.057554650860130785,4,20,0.0012430853378084406,9606,Homo sapiens,"GRB10;TRIB3","","R-HSA-9635927;R-HSA-9653894;R-HSA-9654792;R-HSA-9635912"
R-HSA-9703648,"Signaling by FLT3 ITD and TKD mutants",4,30,0.0018460402436773122,0.0020974013345376186,0.06292204003612856,2,24,0.0014917024053701287,9606,Homo sapiens,"PIM1;KRAS","","R-HSA-9703436;R-HSA-9695853"
R-HSA-1433557,"Signaling by SCF-KIT",5,51,0.0031382684142514305,0.002263534762152797,0.06564250810243111,6,39,0.002424016408726459,9606,Homo sapiens,"STAT1;GRB10;KRAS","","R-HSA-1433456;R-HSA-1433501;R-HSA-1433471;R-HSA-1470012;R-HSA-1470010;R-HSA-1470009"
R-HSA-5654695,"PI-3K cascade:FGFR2",4,31,0.0019075749184665558,0.0023589384295655824,0.06605027602783631,6,7,4.350798682329542E-4,9606,Homo sapiens,"FGFR2","","R-HSA-5654614;R-HSA-5654612;R-HSA-5654622;R-HSA-5654620;R-HSA-5654701;R-HSA-5654697"
R-HSA-5683057,"MAPK family signaling cascades",15,367,0.02258322564765245,0.0024626130097596954,0.06869417921238763,54,122,0.007582820560631487,9606,Homo sapiens,"DUSP10;KSR1;PPP2R1A;KRAS;KALRN;DUSP9;CDC14A;FGFR2;EGFR;JAK1","","R-HSA-5692754;R-HSA-5692764;R-HSA-9657603;R-HSA-5658435;R-HSA-9657606;R-HSA-9654533;R-HSA-5692749;R-HSA-9657608;R-HSA-9658253;R-HSA-109857;R-HSA-5672950;R-HSA-5658231;R-HSA-5672948;R-HSA-109858;R-HSA-5675376;R-HSA-5672958;R-HSA-5672957;R-HSA-5672954;R-HSA-5692768;R-HSA-5675373;R-HSA-5692781;R-HSA-9653585;R-HSA-5672980;R-HSA-5672978;R-HSA-9653595;R-HSA-9653592;R-HSA-5675417;R-HSA-5672966;R-HSA-5672965;R-HSA-9649735;R-HSA-9649733;R-HSA-9649732;R-HSA-5672961;R-HSA-5672972;R-HSA-5672973;R-HSA-9649736;R-HSA-5672969;R-HSA-9653108;R-HSA-9654523;R-HSA-9647994;R-HSA-9654521;R-HSA-9647999;R-HSA-9653503;R-HSA-9657599;R-HSA-9654525;R-HSA-5674022;R-HSA-5675431;R-HSA-5674018;R-HSA-5674019;R-HSA-9647978;R-HSA-9647977;R-HSA-9647982;R-HSA-5675433;R-HSA-9647980"
R-HSA-2219528,"PI3K/AKT Signaling in Cancer",8,132,0.008122577072180174,0.0026153807037407883,0.06869417921238763,1,21,0.0013052396046988625,9606,Homo sapiens,"ESR1;FGFR2;EGFR","","R-HSA-2400009"
R-HSA-9703465,"Signaling by FLT3 fusion proteins",4,32,0.0019691095932557997,0.0026420838158610627,0.06869417921238763,2,18,0.0011187768040275966,9606,Homo sapiens,"PIM1;KRAS","","R-HSA-9703441;R-HSA-9703436"
R-HSA-179812,"GRB2 events in EGFR signaling",3,16,9.845547966278998E-4,0.0029919162774074692,0.0777898232125942,2,3,1.8646280067126608E-4,9606,Homo sapiens,"KRAS;EGFR","","R-HSA-177938;R-HSA-177943"
