Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-168256,"Immune System",52,3033,0.18663466863577627,0.6064969980201627,0.6064969980201627,409,1895,0.11778233575734974,9606,Homo sapiens,"LAMA5;HSP90AB1;SERPINA1;C1S;RNF14;UBR4;ITPR1;PTPN23;UBE2J2;NCSTN;IRAK1;PPP2R1A;PIM1;GRB10;SIRPA;PTK2B;A2M;MAP2K7;JAK1;DBNL;TNFSF14;NUP210;NCOA6;IL1R1;STAT1;GAA;PRKCE;ANO6;MYO9B;SMARCA2;IGF2R;MAPK13;PFKL;P2RX1;LCN2;SDC1;KRAS;TRIB3;CD46;TAF2","","R-HSA-975878;R-HSA-975879;R-HSA-975874;R-HSA-9607304;R-HSA-913424;R-HSA-6786124;R-HSA-8937656;R-HSA-937034;R-HSA-937032;R-HSA-6786095;R-HSA-6800426;R-HSA-937050;R-HSA-6800434;R-HSA-6786096;R-HSA-6786110;R-HSA-937044;R-HSA-6784006;R-HSA-983147;R-HSA-6786050;R-HSA-9705726;R-HSA-983140;R-HSA-6786058;R-HSA-9833723;R-HSA-913529;R-HSA-983157;R-HSA-983156;R-HSA-6786072;R-HSA-983152;R-HSA-912527;R-HSA-450690;R-HSA-8852481;R-HSA-1295519;R-HSA-1295516;R-HSA-448660;R-HSA-448661;R-HSA-1295540;R-HSA-6784204;R-HSA-9674808;R-HSA-446634;R-HSA-390329;R-HSA-446648;R-HSA-9009227;R-HSA-448708;R-HSA-9678935;R-HSA-166091;R-HSA-1264832;R-HSA-9674816;R-HSA-446684;R-HSA-6784189;R-HSA-448728;R-HSA-446694;R-HSA-168162;R-HSA-446692;R-HSA-166119;R-HSA-6785165;R-HSA-446701;R-HSA-1168636;R-HSA-448744;R-HSA-9836664;R-HSA-1306876;R-HSA-975100;R-HSA-8854645;R-HSA-168184;R-HSA-909552;R-HSA-975118;R-HSA-975119;R-HSA-975115;R-HSA-9734547;R-HSA-975111;R-HSA-8984963;R-HSA-975106;R-HSA-450827;R-HSA-449803;R-HSA-8987012;R-HSA-8985988;R-HSA-8984964;R-HSA-8987015;R-HSA-9909657;R-HSA-8987014;R-HSA-975134;R-HSA-8987033;R-HSA-199959;R-HSA-449811;R-HSA-8987039;R-HSA-975125;R-HSA-9009554;R-HSA-975122;R-HSA-9009558;R-HSA-6784324;R-HSA-6784323;R-HSA-912680;R-HSA-8983983;R-HSA-975142;R-HSA-8987040;R-HSA-8987043;R-HSA-8987042;R-HSA-975139;R-HSA-8983996;R-HSA-8987070;R-HSA-9025969;R-HSA-451900;R-HSA-445757;R-HSA-445752;R-HSA-8987063;R-HSA-445753;R-HSA-8987080;R-HSA-975180;R-HSA-8987084;R-HSA-8984012;R-HSA-8984014;R-HSA-8984001;R-HSA-8950210;R-HSA-8940998;R-HSA-9680348;R-HSA-8987097;R-HSA-508247;R-HSA-8987096;R-HSA-8983003;R-HSA-6784319;R-HSA-975188;R-HSA-8984021;R-HSA-9707977;R-HSA-8984023;R-HSA-451942;R-HSA-8987105;R-HSA-8987104;R-HSA-1168767;R-HSA-8987129;R-HSA-8987132;R-HSA-8987120;R-HSA-508282;R-HSA-6788582;R-HSA-508292;R-HSA-9709852;R-HSA-446862;R-HSA-6789615;R-HSA-166286;R-HSA-166284;R-HSA-446870;R-HSA-909725;R-HSA-909724;R-HSA-1168768;R-HSA-446868;R-HSA-8983835;R-HSA-9709831;R-HSA-8983834;R-HSA-909726;R-HSA-909721;R-HSA-909720;R-HSA-9705729;R-HSA-909722;R-HSA-389532;R-HSA-909719;R-HSA-446877;R-HSA-909718;R-HSA-9705738;R-HSA-449958;R-HSA-8985900;R-HSA-8948015;R-HSA-446894;R-HSA-8983841;R-HSA-909732;R-HSA-909729;R-HSA-8983845;R-HSA-1112510;R-HSA-909730;R-HSA-873917;R-HSA-873919;R-HSA-8985914;R-HSA-873918;R-HSA-9676071;R-HSA-8948018;R-HSA-6788571;R-HSA-449978;R-HSA-449976;R-HSA-8985929;R-HSA-873924;R-HSA-873927;R-HSA-1112538;R-HSA-873926;R-HSA-873921;R-HSA-873922;R-HSA-873951;R-HSA-1112514;R-HSA-8986972;R-HSA-8948063;R-HSA-166362;R-HSA-166363;R-HSA-8985943;R-HSA-1678841;R-HSA-8986985;R-HSA-9909623;R-HSA-9962876;R-HSA-1112565;R-HSA-9710963;R-HSA-8985966;R-HSA-8948066;R-HSA-1176059;R-HSA-450027;R-HSA-6798743;R-HSA-453111;R-HSA-6798739;R-HSA-8985981;R-HSA-453104;R-HSA-8987007;R-HSA-8986995;R-HSA-6798749;R-HSA-6798748;R-HSA-8986994;R-HSA-9710959;R-HSA-6798747;R-HSA-8985973;R-HSA-452091;R-HSA-6798745;R-HSA-452100;R-HSA-9732753;R-HSA-452097;R-HSA-450063;R-HSA-1112602;R-HSA-452108;R-HSA-8987266;R-HSA-1112604;R-HSA-8950405;R-HSA-8987270;R-HSA-9732738;R-HSA-8982163;R-HSA-8982162;R-HSA-1112587;R-HSA-452122;R-HSA-8982165;R-HSA-8963734;R-HSA-8950441;R-HSA-6783556;R-HSA-508451;R-HSA-6783552;R-HSA-1031716;R-HSA-1031713;R-HSA-1006143;R-HSA-5668454;R-HSA-8951486;R-HSA-173626;R-HSA-8950448;R-HSA-173631;R-HSA-8950453;R-HSA-6783524;R-HSA-6783530;R-HSA-450133;R-HSA-6809140;R-HSA-449115;R-HSA-8950485;R-HSA-1112690;R-HSA-508513;R-HSA-5676593;R-HSA-6788623;R-HSA-5668414;R-HSA-6788622;R-HSA-874087;R-HSA-1067646;R-HSA-1112703;R-HSA-9678561;R-HSA-8950522;R-HSA-6788628;R-HSA-9006844;R-HSA-9008894;R-HSA-5676591;R-HSA-450173;R-HSA-8950518;R-HSA-9940501;R-HSA-158340;R-HSA-8987150;R-HSA-1112727;R-HSA-9940496;R-HSA-8987141;R-HSA-450187;R-HSA-9931290;R-HSA-8987161;R-HSA-9680385;R-HSA-1067651;R-HSA-844440;R-HSA-1112708;R-HSA-5229273;R-HSA-9680389;R-HSA-9680388;R-HSA-1067659;R-HSA-8987156;R-HSA-8983063;R-HSA-8987179;R-HSA-1112755;R-HSA-6783681;R-HSA-198314;R-HSA-9011748;R-HSA-9009700;R-HSA-1067688;R-HSA-2424477;R-HSA-977615;R-HSA-8987202;R-HSA-1247960;R-HSA-977602;R-HSA-8950340;R-HSA-388809;R-HSA-388808;R-HSA-388811;R-HSA-169683;R-HSA-169680;R-HSA-8987230;R-HSA-5668481;R-HSA-877269;R-HSA-8950354;R-HSA-8987218;R-HSA-8987220;R-HSA-5668534;R-HSA-388833;R-HSA-877281;R-HSA-9732729;R-HSA-8987236;R-HSA-877308;R-HSA-5624486;R-HSA-5624492;R-HSA-5624494;R-HSA-8987255;R-HSA-6785895;R-HSA-9730967;R-HSA-8983425;R-HSA-8983424;R-HSA-5621573;R-HSA-9005980;R-HSA-9758604;R-HSA-9696179;R-HSA-9835443;R-HSA-450337;R-HSA-9954237;R-HSA-450346;R-HSA-8950716;R-HSA-419644;R-HSA-419645;R-HSA-8848316;R-HSA-8848314;R-HSA-8950733;R-HSA-8983518;R-HSA-451418;R-HSA-2730868;R-HSA-9705461;R-HSA-919404;R-HSA-166753;R-HSA-9705458;R-HSA-8950757;R-HSA-9705465;R-HSA-9705466;R-HSA-8952807;R-HSA-9705467;R-HSA-6784791;R-HSA-8950782;R-HSA-8950537;R-HSA-9677585;R-HSA-8983309;R-HSA-166792;R-HSA-8983299;R-HSA-8983298;R-HSA-9006850;R-HSA-8983300;R-HSA-9006873;R-HSA-6799350;R-HSA-9007901;R-HSA-9677579;R-HSA-1015702;R-HSA-1015699;R-HSA-9006870;R-HSA-9674546;R-HSA-9674550;R-HSA-8852266;R-HSA-448427;R-HSA-9674558;R-HSA-8983335;R-HSA-997311;R-HSA-997309;R-HSA-5696482;R-HSA-2029476;R-HSA-9674542;R-HSA-997326;R-HSA-8983371;R-HSA-8986446;R-HSA-8983374;R-HSA-997314;R-HSA-9706308;R-HSA-9674563;R-HSA-8983384;R-HSA-9674562;R-HSA-913374;R-HSA-9674567;R-HSA-8983378;R-HSA-975852;R-HSA-975853;R-HSA-5668789;R-HSA-448480;R-HSA-1168376;R-HSA-8983394;R-HSA-451561;R-HSA-1169406;R-HSA-9706340;R-HSA-9681763;R-HSA-9021306;R-HSA-6790036;R-HSA-198640;R-HSA-8986480;R-HSA-5675948;R-HSA-9706344;R-HSA-9706345;R-HSA-6790041;R-HSA-975857"
R-HSA-168333,"NEP/NS2 Interacts with the Cellular Export Machinery",1,53,0.003261337763829918,0.6071262281326233,0.6071262281326233,1,2,1.2430853378084405E-4,9606,Homo sapiens,"NUP210","","R-HSA-168880"
R-HSA-3560782,"Diseases associated with glycosaminoglycan metabolism",1,53,0.003261337763829918,0.6071262281326233,0.6071262281326233,9,23,0.0014295481384797065,9606,Homo sapiens,"SDC1","","R-HSA-3656261;R-HSA-3560804;R-HSA-9036285;R-HSA-3560802;R-HSA-3656257;R-HSA-9036289;R-HSA-3656254;R-HSA-3656267;R-HSA-4420365"
R-HSA-9824585,"Regulation of MITF-M-dependent genes involved in pigmentation",1,53,0.003261337763829918,0.6071262281326233,0.6071262281326233,4,23,0.0014295481384797065,9606,Homo sapiens,"SMARCA2","","R-HSA-9824981;R-HSA-9825847;R-HSA-9824593;R-HSA-9824579"
R-HSA-77286,"mitochondrial fatty acid beta-oxidation of saturated fatty acids",1,53,0.003261337763829918,0.6071262281326233,0.6071262281326233,5,29,0.0018024737398222388,9606,Homo sapiens,"ECHS1","","R-HSA-77344;R-HSA-77314;R-HSA-77333;R-HSA-77256;R-HSA-77325"
R-HSA-69613,"p53-Independent G1/S DNA Damage Checkpoint",1,53,0.003261337763829918,0.6071262281326233,0.6071262281326233,1,11,6.836969357946423E-4,9606,Homo sapiens,"CHEK2","","R-HSA-69608"
R-HSA-69601,"Ubiquitin-Mediated Degradation of Phosphorylated Cdc25A",1,53,0.003261337763829918,0.6071262281326233,0.6071262281326233,1,11,6.836969357946423E-4,9606,Homo sapiens,"CHEK2","","R-HSA-69608"
R-HSA-1614558,"Degradation of cysteine and homocysteine",1,53,0.003261337763829918,0.6071262281326233,0.6071262281326233,1,22,0.0013673938715892846,9606,Homo sapiens,"TXN2","","R-HSA-9035484"
R-HSA-76009,"Platelet Aggregation (Plug Formation)",1,53,0.003261337763829918,0.6071262281326233,0.6071262281326233,1,27,0.0016781652060413948,9606,Homo sapiens,"THPO","","R-HSA-443926"
R-HSA-9938024,"Somatic hypermutation of immunoglobulin genes",3,178,0.010953172112485386,0.6071888742983167,0.6071888742983167,2,28,0.0017403194729318167,9606,Homo sapiens,"NCOA6;SMARCA2;TAF2","","R-HSA-9940501;R-HSA-9940496"
R-HSA-5633007,"Regulation of TP53 Activity",3,179,0.01101470678727463,0.6109618271802232,0.6109618271802232,6,97,0.006028963888370937,9606,Homo sapiens,"PPP2R1A;CHEK2;TAF2","","R-HSA-6792871;R-HSA-6805399;R-HSA-69685;R-HSA-349426;R-HSA-6792863;R-HSA-6804266"
R-HSA-76042,"RNA Polymerase II Transcription Initiation And Promoter Clearance",1,54,0.003322872438619162,0.6140023338306595,0.6140023338306595,9,11,6.836969357946423E-4,9606,Homo sapiens,"TAF2","","R-HSA-75873;R-HSA-75861;R-HSA-9613494;R-HSA-75864;R-HSA-75866;R-HSA-75850;R-HSA-9613497;R-HSA-75869;R-HSA-75949"
R-HSA-168274,"Export of Viral Ribonucleoproteins from Nucleus",1,54,0.003322872438619162,0.6140023338306595,0.6140023338306595,1,5,3.1077133445211015E-4,9606,Homo sapiens,"NUP210","","R-HSA-168880"
R-HSA-9660826,"Purinergic signaling in leishmaniasis infection",1,54,0.003322872438619162,0.6140023338306595,0.6140023338306595,3,23,0.0014295481384797065,9606,Homo sapiens,"HSP90AB1","","R-HSA-873951;R-HSA-874087;R-HSA-1306876"
R-HSA-9664424,"Cell recruitment (pro-inflammatory response)",1,54,0.003322872438619162,0.6140023338306595,0.6140023338306595,3,23,0.0014295481384797065,9606,Homo sapiens,"HSP90AB1","","R-HSA-873951;R-HSA-874087;R-HSA-1306876"
R-HSA-71240,"Tryptophan catabolism",1,54,0.003322872438619162,0.6140023338306595,0.6140023338306595,1,18,0.0011187768040275966,9606,Homo sapiens,"KMO","","R-HSA-71200"
R-HSA-75153,"Apoptotic execution phase",1,54,0.003322872438619162,0.6140023338306595,0.6140023338306595,1,57,0.0035427932127540555,9606,Homo sapiens,"DBNL","","R-HSA-202966"
R-HSA-69239,"Synthesis of DNA",2,119,0.007322626299920005,0.619946753527264,0.619946753527264,2,27,0.0016781652060413948,9606,Homo sapiens,"MCM8;ORC3L","","R-HSA-68944;R-HSA-169461"
